offdate,event
"Jan 01, 2017",New Year's Day
"Jan 14, 2017",Makar Sankranti / Pongal
"Jan 26, 2017",Republic Day
"Feb 24, 2017",Maha Shivaratri
"Mar 13, 2017",Holi
"Mar 28, 2017",Ugadi / Gudi Padwa
"Apr 05, 2017",Ram Navami
"Apr 09, 2017",Mahavir Jayanti
"Apr 14, 2017",Good Friday
"May 01, 2017",Labor Day
"May 10, 2017",Budhha Purnima
"Jun 25, 2017",Rath Yatra
"Jun 26, 2017",Eid-ul-Fitar
"Aug 07, 2017",Raksha Bandhan
"Aug 14, 2017",Janmashtami
"Aug 15, 2017",Independence Day
"Aug 25, 2017",Vinayaka Chaturthi
"Sep 02, 2017",Bakri Id / Eid ul-Adha
"Sep 04, 2017",Onam
"Sep 30, 2017",Dussehra / Dasara
"Oct 01, 2017",Muharram
"Oct 02, 2017",Mathatma Gandhi Jayanti
"Oct 19, 2017",Diwali / Deepavali
"Dec 01, 2017",Milad un Nabi
"Dec 25, 2017",Christmas
"Jan 01, 2019",New Year's Day
"Jan 14, 2019",Makar Sankranti / Pongal
"Jan 26, 2019",Republic Day
"Mar 04, 2019",Maha Shivaratri
"Mar 21, 2019",Holi
"Apr 06, 2019",Ugadi / Gudi Padwa
"Apr 13, 2019",Ram Navami
"Apr 17, 2019",Mahavir Jayanti
"Apr 19, 2019",Good Friday
"May 01, 2019",Labor Day
"May 18, 2019",Budhha Purnima
"Jun 05, 2019",Eid-ul-Fitar
"Jul 04, 2019",Rath Yatra
"Aug 12, 2019",Bakri Id / Eid ul-Adha
"Aug 15, 2019",Raksha Bandhan
"Aug 15, 2019",Independence Day
"Aug 24, 2019",Janmashtami
"Sep 02, 2019",Vinayaka Chaturthi
"Sep 10, 2019",Muharram
"Sep 11, 2019",Onam
"Oct 02, 2019",Mathatma Gandhi Jayanti
"Oct 08, 2019",Dussehra / Dasara
"Oct 27, 2019",Diwali / Deepavali
"Nov 10, 2019",Milad un Nabi
"Nov 12, 2019",Guru Nanak's Birthday
"Dec 25, 2019",Christmas
"Jan 01, 2018",New Year's Day
"Jan 14, 2018",Makar Sankranti / Pongal
"Jan 26, 2018",Republic Day
"Feb 14, 2018",Maha Shivaratri
"Mar 02, 2018",Holi
"Mar 18, 2018",Ugadi / Gudi Padwa
"Mar 25, 2018",Ram Navami
"Mar 29, 2018",Mahavir Jayanti
"Mar 30, 2018",Good Friday
"Apr 30, 2018",Budhha Purnima
"May 01, 2018",Labor Day
"Jun 16, 2018",Eid-ul-Fitar
"Jul 14, 2018",Rath Yatra
"Aug 15, 2018",Independence Day
"Aug 22, 2018",Bakri Id / Eid ul-Adha
"Aug 25, 2018",Onam
"Aug 26, 2018",Raksha Bandhan
"Sep 03, 2018",Janmashtami
"Sep 13, 2018",Vinayaka Chaturthi
"Sep 21, 2018",Muharram
"Oct 02, 2018",Mathatma Gandhi Jayanti
"Oct 19, 2018",Dussehra / Dasara
"Nov 07, 2018",Diwali / Deepavali
"Nov 21, 2018",Milad un Nabi
"Nov 23, 2018",Guru Nanak's Birthday
"Dec 25, 2018",Christmas
